s,X,Y,phi,kappa,w
-2.734676195457399785e+02,-2.192653728917255762e+01,2.605480099100520874e+01,2.493530772179295862e+00,-1.021001232847700974e-01,1.500000000000000000e+00
-2.728432642677306603e+02,-2.241221464586084977e+01,2.644871445098069529e+01,2.425461489886817645e+00,-1.150726386450235950e-01,1.500000000000000000e+00
-2.722189089897212853e+02,-2.286729040461197826e+01,2.687556853266212187e+01,2.349502619044047336e+00,-1.285492478433831187e-01,1.500000000000000000e+00
-2.715945537117119670e+02,-2.328696748153939566e+01,2.733785325024268076e+01,2.265015788279447495e+00,-1.413002843654575513e-01,1.500000000000000000e+00
-2.709701984337025920e+02,-2.366441526495269443e+01,2.783561116994594897e+01,2.172820943866671239e+00,-1.541015427435809271e-01,1.500000000000000000e+00
-2.703458431556932737e+02,-2.399115387273676703e+01,2.836544998333291545e+01,2.072562564338762847e+00,-1.662270061393419929e-01,1.500000000000000000e+00
-2.697214878776839555e+02,-2.426245797726155828e+01,2.892739983960795769e+01,1.968511875546996359e+00,-1.670843651162687571e-01,1.500000000000000000e+00
-2.690971325996745804e+02,-2.447374979116590055e+01,2.951443349523846038e+01,1.864001557226385497e+00,-1.677435265248324314e-01,1.500000000000000000e+00
-2.684727773216652622e+02,-2.462305083092568481e+01,3.011818440561120980e+01,1.764829688319102363e+00,-1.472018008759889418e-01,1.500000000000000000e+00
-2.678484220436559440e+02,-2.471678146036001422e+01,3.073579056779756513e+01,1.680514886539105079e+00,-1.230105221138978328e-01,1.500000000000000000e+00
-2.672240667656465689e+02,-2.476268363034559883e+01,3.135935119843276198e+01,1.609793742157209939e+00,-1.064003475216255823e-01,1.500000000000000000e+00
-2.665997114876372507e+02,-2.476688881913438678e+01,3.198342070768157797e+01,1.546193144684691934e+00,-9.758120629458595652e-02,1.500000000000000000e+00
-2.659753562096278756e+02,-2.473296991030658276e+01,3.260765850449568148e+01,1.487636750551649234e+00,-8.958290773042833222e-02,1.500000000000000000e+00
-2.653510009316185574e+02,-2.466448356057959401e+01,3.322807054685483763e+01,1.435245304309231029e+00,-7.828470894459818585e-02,1.500000000000000000e+00
-2.647266456536092392e+02,-2.456572759628690505e+01,3.384460015829288437e+01,1.389839140917751070e+00,-6.719810933053099733e-02,1.500000000000000000e+00
