color,X,Y
blue,-1.45759,6.44296
blue,-1.4569,6.46982
blue,-1.45619,6.49668
blue,-1.45548,6.52354
blue,-1.45477,6.5504
blue,-1.45404,6.57726
blue,-1.45331,6.60412
blue,-1.45256,6.63098
blue,-1.45181,6.65784
blue,-1.45106,6.6847
blue,-1.45029,6.71156
blue,-1.44951,6.73842
blue,-1.44873,6.76528
blue,-1.44794,6.79214
blue,-1.44714,6.819
blue,-1.44633,6.84586
blue,-1.44552,6.87272
blue,-1.44469,6.89958
blue,-1.44386,6.92644
blue,-1.44302,6.95329
blue,-1.44217,6.98015
blue,-1.44131,7.00701
blue,-1.44044,7.03387
blue,-1.43956,7.06072
blue,-1.43868,7.08758
blue,-1.43778,7.11444
blue,-1.43688,7.14129
blue,-1.43597,7.16815
blue,-1.43504,7.195
blue,-1.43411,7.22186
blue,-1.43317,7.24871
blue,-1.43222,7.27557
blue,-1.43126,7.30242
blue,-1.43029,7.32927
blue,-1.42931,7.35613
blue,-1.42832,7.38298
blue,-1.42733,7.40983
blue,-1.42632,7.43668
blue,-1.4253,7.46353
blue,-1.42427,7.49038
blue,-1.42323,7.51723
blue,-1.42219,7.54408
blue,-1.42113,7.57093
blue,-1.42006,7.59778
blue,-1.41898,7.62463
blue,-1.4179,7.65148
blue,-1.4168,7.67833
blue,-1.41569,7.70517
blue,-1.41457,7.73202
blue,-1.41344,7.75887
blue,-1.4123,7.78571
blue,-1.41115,7.81256
blue,-1.40999,7.8394
blue,-1.40882,7.86625
blue,-1.40763,7.89309
blue,-1.40644,7.91993
blue,-1.40524,7.94678
blue,-1.40402,7.97362
blue,-1.40279,8.00046
blue,-1.40156,8.0273
blue,-1.40031,8.05414
blue,-1.39905,8.08098
blue,-1.39778,8.10782
blue,-1.39649,8.13466
blue,-1.3952,8.16149
blue,-1.39389,8.18833
blue,-1.39258,8.21517
blue,-1.39125,8.242
blue,-1.38991,8.26884
blue,-1.38856,8.29567
blue,-1.38719,8.32251
blue,-1.38582,8.34934
blue,-1.38443,8.37617
blue,-1.38303,8.403
blue,-1.38162,8.42984
blue,-1.3802,8.45667
blue,-1.37876,8.4835
blue,-1.37731,8.51032
blue,-1.37585,8.53715
blue,-1.37438,8.56398
blue,-1.3729,8.59081
blue,-1.3714,8.61763
blue,-1.36989,8.64446
blue,-1.36837,8.67128
blue,-1.36683,8.69811
blue,-1.36529,8.72493
blue,-1.36373,8.75175
blue,-1.36216,8.77857
blue,-1.36057,8.80539
blue,-1.35897,8.83221
blue,-1.35736,8.85903
blue,-1.35574,8.88585
blue,-1.3541,8.91267
blue,-1.35245,8.93948
blue,-1.35078,8.9663
blue,-1.34911,8.99311
blue,-1.34742,9.01993
blue,-1.34571,9.04674
blue,-1.344,9.07355
blue,-1.34226,9.10036
blue,-1.34052,9.12717
blue,-1.33876,9.15398
blue,-1.33699,9.18079
blue,-1.33521,9.2076
blue,-1.33341,9.2344
blue,-1.33159,9.26121
blue,-1.32977,9.28801
blue,-1.32792,9.31482
blue,-1.32607,9.34162
blue,-1.3242,9.36842
blue,-1.32232,9.39522
blue,-1.32042,9.42202
blue,-1.31851,9.44882
blue,-1.31658,9.47562
blue,-1.31464,9.50242
blue,-1.31269,9.52921
blue,-1.31072,9.55601
blue,-1.30873,9.5828
blue,-1.30673,9.60958
blue,-1.30472,9.63637
blue,-1.30269,9.66315
blue,-1.30065,9.68993
blue,-1.29859,9.71672
blue,-1.29652,9.7435
blue,-1.29443,9.77027
blue,-1.29233,9.79705
blue,-1.29021,9.82383
blue,-1.28808,9.8506
blue,-1.28594,9.87738
blue,-1.28378,9.90415
blue,-1.2816,9.93093
blue,-1.27941,9.9577
blue,-1.2772,9.98447
blue,-1.27498,10.0112
blue,-1.27274,10.038
blue,-1.27049,10.0648
blue,-1.26823,10.0915
blue,-1.26594,10.1183
blue,-1.26365,10.1451
blue,-1.26134,10.1718
blue,-1.25901,10.1986
blue,-1.25667,10.2253
blue,-1.25431,10.2521
blue,-1.25194,10.2789
blue,-1.24955,10.3056
blue,-1.24714,10.3324
blue,-1.24473,10.3591
blue,-1.24229,10.3859
blue,-1.23984,10.4126
blue,-1.23738,10.4394
blue,-1.2349,10.4661
blue,-1.2324,10.4929
blue,-1.22989,10.5196
blue,-1.22736,10.5464
blue,-1.22482,10.5731
blue,-1.22226,10.5998
blue,-1.21969,10.6266
blue,-1.2171,10.6533
blue,-1.2145,10.6801
blue,-1.21187,10.7068
blue,-1.20924,10.7335
blue,-1.20659,10.7603
blue,-1.20392,10.787
blue,-1.20124,10.8137
blue,-1.19854,10.8405
blue,-1.19582,10.8672
blue,-1.19309,10.8939
blue,-1.19034,10.9206
blue,-1.18758,10.9474
blue,-1.1848,10.9741
blue,-1.18201,11.0008
blue,-1.1792,11.0275
blue,-1.17637,11.0542
blue,-1.17353,11.0809
blue,-1.17067,11.1077
blue,-1.1678,11.1344
blue,-1.1649,11.1611
blue,-1.162,11.1878
blue,-1.15908,11.2145
blue,-1.15614,11.2412
blue,-1.15318,11.2679
blue,-1.15021,11.2946
blue,-1.14722,11.3213
blue,-1.14422,11.348
blue,-1.1412,11.3747
blue,-1.13816,11.4014
blue,-1.13511,11.4281
blue,-1.13204,11.4548
blue,-1.12895,11.4815
blue,-1.12585,11.5082
blue,-1.12273,11.5349
blue,-1.1196,11.5616
blue,-1.11645,11.5883
blue,-1.11328,11.6149
blue,-1.11009,11.6416
blue,-1.10689,11.6683
blue,-1.10368,11.695
blue,-1.10044,11.7217
blue,-1.09719,11.7483
blue,-1.09392,11.775
blue,-1.09064,11.8017
blue,-1.08734,11.8284
blue,-1.08402,11.855
blue,-1.08069,11.8817
blue,-1.07733,11.9084
blue,-1.07397,11.935
blue,-1.07058,11.9617
blue,-1.06718,11.9884
blue,-1.06376,12.015
blue,-1.06033,12.0417
blue,-1.05687,12.0683
blue,-1.0534,12.095
blue,-1.04992,12.1216
blue,-1.04641,12.1483
blue,-1.04289,12.1749
blue,-1.03936,12.2016
blue,-1.0358,12.2282
blue,-1.03223,12.2549
blue,-1.02864,12.2815
blue,-1.02504,12.3082
blue,-1.02141,12.3348
blue,-1.01777,12.3614
blue,-1.01411,12.3881
blue,-1.01044,12.4147
blue,-1.00675,12.4413
blue,-1.00304,12.468
blue,-0.999312,12.4946
blue,-0.995568,12.5212
blue,-0.991807,12.5478
blue,-0.98803,12.5744
blue,-0.984236,12.601
blue,-0.980425,12.6276
blue,-0.976595,12.6542
blue,-0.972748,12.6808
blue,-0.968883,12.7074
blue,-0.965,12.734
blue,-0.961099,12.7606
blue,-0.95718,12.7872
blue,-0.953243,12.8138
blue,-0.949287,12.8403
blue,-0.945312,12.8669
blue,-0.941319,12.8935
blue,-0.937307,12.9201
blue,-0.933277,12.9467
blue,-0.929227,12.9732
blue,-0.925159,12.9998
blue,-0.921071,13.0264
blue,-0.916965,13.0529
blue,-0.912838,13.0795
blue,-0.908693,13.106
